iter	TotalF1	MultiClass
267	0.8186719185	0.6531199523
268	0.8195263419	0.6525710738
269	0.8195669156	0.6522834669
270	0.8194398423	0.6515528436
271	0.8199941046	0.6511283383
272	0.8200794608	0.6508108723
273	0.8203534893	0.6502635782
274	0.8205632421	0.649069529
275	0.8205391497	0.6487111907
276	0.8208936063	0.6481541044
277	0.8217466431	0.6472781319
278	0.8216256985	0.6467340702
279	0.8213422039	0.6462732746
280	0.8220411561	0.6457361839
281	0.8221269705	0.645364506
282	0.8222161404	0.6451097548
283	0.8224278818	0.6443626447
284	0.8226543781	0.6435680222
285	0.8226889805	0.6430393248
286	0.8228194427	0.6422068948
287	0.8230090657	0.6415723577
288	0.8231780476	0.6408760109
289	0.8232617726	0.639851755
290	0.8232615399	0.6396273041
291	0.8235877666	0.6390373186
292	0.8240584092	0.6382392751
293	0.8241017242	0.6378880382
294	0.82446741	0.6373459958
295	0.8245521416	0.6367768682
296	0.8244894889	0.6362104545
297	0.8248069065	0.6355110636
298	0.8248955459	0.6348465778
299	0.8255596241	0.6345793844
300	0.8259877359	0.6338824166
301	0.8256969245	0.6329635118
302	0.8264745247	0.6324515779
303	0.8263664715	0.6321073943
304	0.8261746087	0.6310834663
305	0.8268145889	0.6302198287
306	0.8270406102	0.6293254828
307	0.8270522829	0.628750954
308	0.8274808075	0.627760671
309	0.8278607825	0.6272615282
310	0.8278607825	0.6269478084
311	0.8277598051	0.6263334081
312	0.8277598051	0.6260878035
313	0.827920274	0.6252167585
314	0.8279838043	0.6247973425
315	0.8283442916	0.6243411049
316	0.8285245614	0.6239925622
317	0.8288993482	0.6234799115
318	0.8289338504	0.6232572378
319	0.8288216357	0.6225996934
320	0.8292871361	0.6217595923
321	0.8291719409	0.6214858459
322	0.8291719409	0.6211413784
323	0.8291719409	0.6208160748
324	0.8294307244	0.6202538371
325	0.8297963848	0.6200509912
326	0.8303408013	0.61935946
327	0.8303431285	0.6190258905
328	0.8306206531	0.6187651286
329	0.8301771163	0.6182381513
330	0.8306686322	0.6180295522
331	0.8306698332	0.6177708235
